Fish,MorphSex,Population,FoodCondition,GnRH2Ct_RowA,GnRH2Ct_RowB,GnRH2Ct_RowC,EarlyBCt_RowD,EarlyBCt_RowE,EarlyBCt_RowF
Nico,OM,F+OM,Food,25.614,23.952,24.155,19.646,19.664,19.664
Percy,OM,F+OM,Food,22.194,21.996,22.155,19.15,19.146,19.26
Clairesse,F,F+OM,Food,24.322,24.003,24.214,18.891,19.006,18.961
Annabeth,F,F+OM,Food,23.817,23.795,23.892,19.776,19.68,19.611
TheDoctor,F,F+SM,NoFood,23.688,23.775,23.925,19.228,19.235,19.175
RoseTyler,F,F+SM,NoFood,24.784,24.744,24.775,19,19.179,19.2
MickeySmith,SM,F+SM,NoFood,22.795,22.617,22.877,19.29,19.261,19.559
King,SM,F+SM,NoFood,22.902,22.855,22.871,20.489,20.529,20.536
Luz,F,F+SM,NoFood,25.397,25.522,25.476,19.843,20.138,19.985
Eda,F,F+SM,NoFood,25.138,25.209,25.076,19.215,19.424,19.503
Daphne,SM,F+SM,Food,23.697,23.659,23.758,19.475,19.641,19.432
Velma,F,F+SM,Food,25.186,25.197,25.301,19.231,19.614,19.425
Shaggy,SM,F+SM,Food,24.738,24.804,24.854,19.217,19.522,19.695
Scooby,F,F+SM,Food,23.846,24.578,24.212,19.361,19.307,19.648
Dipper,OM,F+OM,NoFood,24.566,24.353,24.508,19.363,19.689,19.353
Wendy,F,F+OM,NoFood,24.106,23.948,23.977,18.891,18.991,19.486
Waddles,OM,F+OM,NoFood,24.911,24.787,24.672,19.226,19.227,19.817
Mabel,F,F+OM,NoFood,25.402,25.38,25.234,19.202,19.493,19.792
Katara,F,F+SM,Food,24.728,24.599,24.597,19.283,19.264,19.341
Sokka,SM,F+SM,Food,23.595,23.743,23.493,19.31,19.283,19.397
Toph,F,F+SM,Food,25.345,25.516,25.49,19.349,19.707,19.378
Lefty,F,F+OM,NoFood,24.433,24.336,24.421,18.92,19.095,19.46
Goob,OM,F+OM,NoFood,24.955,25.071,25.32,19.437,19.413,19.432
Frankie,F,F+OM,NoFood,24.903,25.144,24.721,18.946,18.853,18.94
Buffy,F,F+OM,Food,24.561,25.088,25.127,19.639,19.549,18.869
Willow,F,F+OM,Food,24.919,25.095,24.668,19.617,19.145,19.474
Spike,OM,F+OM,Food,24.125,24.429,24.302,19.341,19.05,18.569
R2D2,F,F+SM,NoFood,24.752,25.046,24.943,19.213,18.979,30.404
Leia,SM,F+SM,NoFood,24.857,24.888,24.812,19.344,19.325,18.842
Chewbacca,F,F+SM,NoFood,25.289,25.407,25.353,19.412,18.991,19.105
Kaylee,F,F+SM,Food,25.116,25.268,26.016,19.244,19.284,18.794
Zoe,F,F+SM,Food,24.211,24.969,25.201,19.108,18.864,19.129
Wash,SM,F+SM,Food,25.386,25.464,25.321,19.019,19.542,18.989
Sofi,F,F+OM,NoFood,24.944,25.138,24.978,20.158,18.939,18.853
Calcifer,F,F+OM,NoFood,25.3,24.895,25.071,36.891,18.834,18.871
Howl,OM,F+OM,NoFood,25.519,25.867,25.689,20.324,18.839,18.6
Markl,OM,F+OM,NoFood,25.462,26.587,25.601,19.891,19.018,18.936
Bloo,F,F+OM,Food,25.58,26.251,25.32,19.263,18.778,18.919
Wilt,OM,F+OM,Food,25.268,25.29,25.28,19.28,19.108,18.709
Coco,F,F+OM,Food,25.591,25.354,25.986,18.848,18.811,18.694
Edwardo,OM,F+OM,Food,25.777,26.023,25.924,19.726,19.622,19.15
