Fish,MorphSex,PreSize_mm,PostSize_mm,Tank,Population,FoodCondition,Shelf_Location,Day14_Chase,Day14_Charge,Day14_ParallelSwim-I,Day14_TransverseApproach,Day14_AttemptedCopulation,Day14_SexDisp_Cwrap,Day14_SexDisp_FrontShimmy,Day14_Nip,Day14_InitiatingMatingBehaviors,Day14_Stay,Day14_Backup,Day14_Retreat,Day14_Glide,Day14_Dart,Day14_ParallelSwim-R,Day14_ResponseMatingBehaviors,Day14_Chase_s,Day14_ParallelSwim-I_s,Day14_ParallelSwim-R_s,Day14_Refuge_s,Day14_OutofFrame_s,Day1_Chase,Day1_Charge,Day1_ParallelSwim-I,Day1_TransverseApproach,Day1_AttemptedCopulation,Day1_SexDisp_Cwrap,Day1_SexDisp_FrontShimmy,Day1_Nip,Day1_InitiatingMatingBehaviors,Day1_Stay,Day1_Backup,Day1_Retreat,Day1_Glide,Day1_Dart,Day1_ParallelSwim-R,Day1_ResponseMatingBehaviors,Day1_Chase_s,Day1_ParallelSwim-I_s,Day1_ParallelSwim-R_s,Day1_Refuge_s,Day1_OutofFrame_s
Bloo,F,27.45,28.26,FostersHome,F+OM,Food,Top,5,18,1,1,0,0,0,1,3,58,63,14,0,127,14,276,13.841,0.752,18.272,32.11,316.434,0,0,0,0,0,0,0,1,1,20,35,13,2,38,8,116,0,0,18.749,350.469,304.738
Coco,F,23.2,23.95,FostersHome,F+OM,Food,Top,0,0,0,0,0,0,0,0,0,15,8,14,0,69,8,114,0,0,7.028,42.955,416.091,0,1,0,0,1,0,0,0,1,4,3,3,0,4,4,18,0,0,6.273,718.117,109.678
Annabeth,F,31.1,32.16,CampHalfBlood,F+OM,Food,Top,0,0,0,0,0,0,0,0,0,6,0,2,1,10,0,19,0,0,0,1188.28,0,0,0,0,1,0,0,0,0,1,5,0,1,0,7,1,14,0,0,3.001,837.533,212.191
Clairesse,F,25.01,26.33,CampHalfBlood,F+OM,Food,Top,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,0,0,1,1,0,0,0,0,2,19,4,1,1,20,2,47,0,3.504,4.865,415.863,359.087
Toph,F,20.4,21.54,Appa,F+SM,Food,Bottom,0,0,2,4,0,0,1,0,1,0,2,40,0,2,1,0,0,0,0,250.578,194.173,0,13,2,1,1,2,0,0,19,0,0,32,0,0,0,32,0,0,0,0,742.507
Katara,F,30.65,29.02,Appa,F+SM,Food,Bottom,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,3.252,1.501,199.936,678.657,0,1,1,6,0,1,3,0,0,3,0,1,0,5,2,0,0,0,0,44.359,970.214
Eduardo,OM,28.87,29.52,FostersHome,F+OM,Food,Top,2,2,24,89,0,122,45,1,7,0,0,0,0,0,0,45,1.5,1.101,0.499,240.908,882.664,0,0,19,35,0,21,50,0,6,0,1,0,0,0,0,32,0,1.227,0,288.191,389.796
Percy,OM,26.97,27.45,CampHalfBlood,F+OM,Food,Top,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,0,0,4,14,0,9,16,0,11,3,0,0,0,0,1,11,0,1.75,3.502,412.565,485.802
Wilt,OM,36.2,36.62,FostersHome,F+OM,Food,Top,6,27,0,0,0,0,0,1,281,0,0,0,0,0,0,0,11.257,29.926,0,75.557,227.015,5,22,0,6,0,0,0,13,125,18,3,0,0,11,0,1,7.81,52.974,0,147.538,53.245
Nico,OM,34.14,35.03,CampHalfBlood,F+OM,Food,Top,0,0,4,5,0,0,0,0,8,3,0,0,0,0,1,0,0,0,0,391.665,268.185,1,0,0,0,0,0,0,0,43,0,0,0,0,0,0,4,1.754,8.267,3.004,773.692,104.118
Sokka,SM,25.57,25.39,Appa,F+SM,Food,Bottom,0,0,1,3,0,0,0,0,4,6,1,0,0,5,4,16,0,1.75,2.999,445.543,281.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.265,1116.418
