Tank,Condition,Population,FishName,MorphSex,PreSize_mm,PostSize_mm,Kill_Date,Kill_Time,Dissection_Date
Foster's Home for Imaginary Friends,Food,"OM, F",Bloo,F,27.45,28.26,22/7/22,12:45,23/7/22
Foster's Home for Imaginary Friends,Food,"OM, F",Coco,F,23.2,23.95,22/7/22,12:54,23/7/22
Foster's Home for Imaginary Friends,Food,"OM, F",Wilt,LM,36.2,36.62,22/7/22,13:01,23/7/22
Foster's Home for Imaginary Friends,Food,"OM, F",Eduardo,IM,28.87,29.52,22/7/22,13:09,23/7/22
Appa,Food,"SM, F",Katara,F,30.65,29.02,21/7/22,12:55,22/7/22
Appa,Food,"SM, F",Sokka,SM,25.57,25.39,21/7/22,13:01,22/7/22
Appa,Food,"SM, F",Toph,F,20.4,21.54,21/7/22,12:46,22/7/22
Mystery Machine,Food,"SM, F",Daphne2,SM,20,20.02,20/7/22,12:45,21/7/22
Mystery Machine,Food,"SM, F",Scooby,F,20.97,21.78,20/7/22,13:02,21/7/22
Mystery Machine,Food,"SM, F",Shaggy,SM,20.41,21.69,20/7/22,12:52,21/7/22
Mystery Machine,Food,"SM, F",Velma,F,22.57,25.85,20/7/22,13:09,21/7/22
The Magic Box,Food,"OM, F",Buffy,F,24.63,24.23,21/7/22,10:20,22/7/22
The Magic Box,Food,"OM, F",Spike,IM,27.75,27.59,21/7/22,10:35,22/7/22
The Magic Box,Food,"OM, F",Willow,F,21.83,22.26,21/7/22,10:27,22/7/22
Camp Half-Blood,Food,"OM, F",Annabeth,F,31.1,32.16,20/7/22,10:07,21/7/22
Camp Half-Blood,Food,"OM, F",Clarisse,F,25.01,26.33,20/7/22,10:25,21/7/22
Camp Half-Blood,Food,"OM, F",Percy,IM,26.97,27.45,20/7/22,10:18,21/7/22
Camp Half-Blood,Food,"OM, F",Nico,LM,34.14,35.03,20/7/22,10:33,21/7/22
Serenity,Food,"SM, F",Kaylee,F,24.91,25.21,22/7/22,10:58,23/7/22
Serenity,Food,"SM, F",Zoe,F,27.3,28.95,22/7/22,11:17,23/7/22
Serenity,Food,"SM, F",Wash,SM,21.38,21.78,22/7/22,11:06,23/7/22
Robinsons' House,NoFood,"OM, F",Goob,IM,28.5,30.22,21/7/22,11:08,22/7/22
Robinsons' House,NoFood,"OM, F",Frankie,F,23.12,22.49,21/7/22,11:23,22/7/22
Robinsons' House,NoFood,"OM, F",Lefty,F,24.54,24,21/7/22,11:16,22/7/22
TARDIS,NoFood,"SM, F",Doctor,F,27.94,28.3,20/7/22,11:26,21/7/22
TARDIS,NoFood,"SM, F",Rose Tyler,F,22.21,22.99,20/7/22,11:10,21/7/22
TARDIS,NoFood,"SM, F",Mickey Smith,SM,20.44,21.56,20/7/22,11:20,21/7/22
Howl's Moving Castle,NoFood,"OM, F",Sofi,F,22.74,23.2,22/7/22,11:50,23/7/22
Howl's Moving Castle,NoFood,"OM, F",Calcifer,F,31.29,31.73,22/7/22,12:02,23/7/22
Howl's Moving Castle,NoFood,"OM, F",Howl,LM,40.3,38.67,22/7/22,12:11,23/7/22
Howl's Moving Castle,NoFood,"OM, F",Markl,IM,30.49,30.12,22/7/22,11:56,23/7/22
Millennium Falcon,NoFood,"SM, F",Chewbacca,F,28.5,28.37,22/7/22,10:10,23/7/22
Millennium Falcon,NoFood,"SM, F",Leia,SM,21.33,21.33,22/7/22,10:18,23/7/22
Millennium Falcon,NoFood,"SM, F",R2D2,F,26.78,26.37,22/7/22,10:25,23/7/22
The Owl House,NoFood,"SM, F",Eda,F,32.76,32.77,20/7/22,12:09,21/7/22
The Owl House,NoFood,"SM, F",Luz,F,20.09,20.92,20/7/22,12:00,21/7/22
The Owl House,NoFood,"SM, F",King2,SM,23.31,24.46,20/7/22,11:58,21/7/22
The Mystery Shack,NoFood,"OM, F",Dipper,LM,32.12,32.3,21/7/22,12:05,22/7/22
The Mystery Shack,NoFood,"OM, F",Wendy,F,23.57,23.05,21/7/22,11:51,22/7/22
The Mystery Shack,NoFood,"OM, F",Waddles,IM,28.62,28.63,21/7/22,12:15,22/7/22
The Mystery Shack,NoFood,"OM, F",Mabel,F,27.53,28.63,21/7/22,12:00,22/7/22
