Sample Name,GnRHR2Ct_RowA,GnRHR2Ct_RowB,GnRHR2Ct_RowC,GnRHR2_CtAvg,GnRHR2_CtSD,GAPDHCt_RowA,GAPDHCt_RowB,GAPDHCt_RowC,GAPDH_CtAvg,GAPDH_CtSD
Nico,27.691,28.046,27.756,27.831,0.189,24.215,24.130,24.362,24.236,0.117
Percy,27.488,27.529,27.458,27.492,0.035,24.799,24.827,24.710,24.778,0.061
Clairesse,26.962,26.929,26.871,26.921,0.046,23.515,23.404,23.495,23.471,0.059
Annabeth,27.940,27.625,27.977,27.847,0.193,26.297,26.031,26.311,26.213,0.158
TheDoctor,31.538,31.882,31.980,31.800,0.232,26.017,25.961,25.904,25.961,0.079
RoseTyler,27.555,27.985,27.590,27.710,0.239,24.965,24.857,25.069,24.963,0.106
MickeySmith,28.132,27.715,27.612,27.820,0.275,24.531,24.378,24.393,24.434,0.084
King,28.877,28.637,28.516,28.677,0.184,26.681,26.934,26.857,26.824,0.130
Luz,27.868,28.045,27.947,27.953,0.089,24.141,24.093,24.082,24.105,0.031
Eda,27.273,27.475,27.492,27.413,0.122,26.204,25.977,26.094,26.092,0.113
Daphne,27.278,27.613,27.285,27.392,0.191,25.761,25.931,25.608,25.767,0.161
Velma,27.390,27.540,27.472,27.467,0.075,23.214,23.359,23.410,23.328,0.102
Shaggy,27.693,27.748,27.681,27.707,0.035,25.097,25.154,25.020,25.090,0.067
Scooby,27.589,27.284,27.370,27.414,0.157,24.943,24.961,24.863,24.923,0.052
Dipper,27.863,28.167,27.996,28.009,0.152,23.133,23.091,23.067,23.097,0.033
Wendey,26.802,26.709,26.531,26.681,0.138,25.338,25.402,25.458,25.399,0.060
Waddles,27.562,27.418,27.415,27.465,0.084,25.467,25.509,25.763,25.580,0.160
Mabel,27.639,27.321,27.471,27.477,0.159,25.999,26.152,25.984,26.045,0.093
Katara,27.291,27.216,27.094,27.201,0.099,25.087,20.508,25.057,23.551,2.635
Sokka,27.900,28.186,27.968,28.018,0.150,25.217,25.394,25.385,25.332,0.100
Toph,27.624,27.457,27.637,27.573,0.101,26.071,25.829,25.920,25.940,0.122
Lefty,27.329,27.616,27.167,27.371,0.227,26.017,25.923,25.923,25.954,0.055
Goob,28.072,28.153,28.712,28.312,0.348,25.836,25.928,26.129,25.965,0.150
Frankie,27.624,27.805,27.795,27.741,0.102,20.604,20.676,20.697,20.659,0.049
Buffy,27.300,26.967,27.166,27.145,0.167,22.696,22.779,22.834,22.769,0.070
Willow,26.971,27.122,27.051,27.048,0.076,25.662,25.986,25.943,25.864,0.176
Spike,27.757,27.866,27.296,27.640,0.302,25.276,25.310,25.399,25.329,0.064
R2D2,27.666,27.659,27.305,27.543,0.207,25.291,25.289,25.302,25.294,0.007
Leia,27.545,27.661,27.432,27.546,0.115,25.200,25.187,25.174,25.187,0.019
Chewbacca,27.079,27.283,27.253,27.205,0.110,24.551,24.911,24.652,24.705,0.186
Kaylee,26.519,26.589,26.716,26.608,0.100,25.620,25.537,25.561,25.573,0.043
Zoe,26.693,26.317,26.466,26.492,0.190,25.197,25.393,25.537,25.376,0.171
Wash,26.986,26.837,26.773,26.865,0.109,24.706,24.631,24.679,24.672,0.038
Sofi,26.728,26.920,27.144,26.931,0.208,24.608,24.596,24.644,24.616,0.025
Calcifer,26.731,26.720,26.796,26.749,0.041,24.174,24.124,24.123,24.140,0.029
Howl,25.742,26.092,26.107,25.980,0.207,23.236,23.143,23.236,23.205,0.053
Markl,26.656,26.561,26.821,26.680,0.131,25.083,25.210,25.135,25.143,0.064
Bloo,26.824,26.792,26.741,26.786,0.042,23.687,23.580,23.600,23.622,0.057
Wilt,26.288,26.200,26.697,26.395,0.265,25.371,25.387,25.338,25.365,0.025
Coco,26.963,26.839,26.864,26.889,0.066,22.041,22.045,22.140,22.075,0.056
Eduardo,26.947,27.062,26.931,26.980,0.072,25.005,25.105,25.230,25.113,0.113
