Fish,MorphSex,Population,FoodCondition,GnRH2_CtAvg,GnRH2_CtSD,GnRHR2_CtAvg,GnRHR2_CtSD,EarlyB_CtAvg,EarlyB_CtSD,GAPDH_CtAvg,GAPDH_CtSD
Nico,OM,F+OM,Food,24.574,0.907,27.831,0.189,19.658,0.01,24.236,0.117
Percy,OM,F+OM,Food,22.115,0.105,27.492,0.035,19.185,0.065,24.778,0.061
Clairesse,F,F+OM,Food,24.18,0.162,26.921,0.046,18.953,0.058,23.471,0.059
Annabeth,F,F+OM,Food,23.835,0.051,27.847,0.193,19.689,0.083,26.213,0.158
TheDoctor,F,F+SM,NoFood,23.796,0.12,31.8,0.232,19.213,0.033,25.961,0.079
RoseTyler,F,F+SM,NoFood,24.768,0.021,27.71,0.239,19.126,0.11,24.963,0.106
MickeySmith,SM,F+SM,NoFood,22.763,0.133,27.82,0.275,19.37,0.164,24.434,0.084
King,SM,F+SM,NoFood,22.876,0.024,28.677,0.184,20.518,0.025,26.824,0.13
Luz,F,F+SM,NoFood,25.465,0.063,27.953,0.089,19.989,0.148,24.105,0.031
Eda,F,F+SM,NoFood,25.141,0.067,27.413,0.122,19.381,0.149,26.092,0.113
Daphne,SM,F+SM,Food,23.705,0.05,27.392,0.191,19.516,0.11,25.767,0.161
Velma,F,F+SM,Food,25.228,0.063,27.467,0.075,19.423,0.192,23.328,0.102
Shaggy,SM,F+SM,Food,24.799,0.058,27.707,0.035,19.478,0.242,25.09,0.067
Scooby,F,F+SM,Food,24.212,0.366,27.414,0.157,19.439,0.183,24.923,0.052
Dipper,OM,F+OM,NoFood,24.476,0.11,28.009,0.152,19.468,0.191,23.097,0.033
Wendy,F,F+OM,NoFood,24.01,0.084,26.681,0.138,19.123,0.319,25.399,0.06
Waddles,OM,F+OM,NoFood,24.79,0.12,27.465,0.084,19.423,0.341,25.58,0.16
Mabel,F,F+OM,NoFood,25.339,0.091,27.477,0.159,19.496,0.295,26.045,0.093
Katara,F,F+SM,Food,24.641,0.075,27.201,0.099,19.296,0.04,23.551,2.635
Sokka,SM,F+SM,Food,23.61,0.126,28.018,0.15,19.33,0.06,25.332,0.1
Toph,F,F+SM,Food,25.45,0.092,27.573,0.101,19.478,0.199,25.94,0.122
Lefty,F,F+OM,NoFood,24.397,0.053,27.371,0.227,19.158,0.276,25.954,0.055
Goob,OM,F+OM,NoFood,25.115,0.186,28.312,0.348,19.427,0.013,25.965,0.15
Frankie,F,F+OM,NoFood,24.923,0.212,27.741,0.102,18.913,0.052,20.659,0.049
Buffy,F,F+OM,Food,24.925,0.316,27.145,0.167,19.352,0.421,22.769,0.07
Willow,F,F+OM,Food,24.894,0.215,27.048,0.076,19.412,0.242,25.864,0.176
Spike,OM,F+OM,Food,24.285,0.153,27.64,0.302,18.987,0.39,25.329,0.064
R2D2,F,F+SM,NoFood,24.914,0.149,27.543,0.207,22.865,6.53,25.294,0.007
Leia,SM,F+SM,NoFood,24.852,0.038,27.546,0.115,19.17,0.285,25.187,0.019
Chewbacca,F,F+SM,NoFood,25.35,0.059,27.205,0.11,19.169,0.218,24.705,0.186
Kaylee,F,F+SM,Food,25.467,0.482,26.608,0.1,19.107,0.272,25.573,0.043
Zoe,F,F+SM,Food,24.794,0.518,26.492,0.19,19.034,0.147,25.376,0.171
Wash,SM,F+SM,Food,25.39,0.072,26.865,0.109,19.183,0.311,24.672,0.038
Sofi,F,F+OM,NoFood,25.02,0.104,26.931,0.208,19.317,0.73,24.616,0.025
Calcifer,F,F+OM,NoFood,25.089,0.203,26.749,0.041,24.865,10.415,24.14,0.029
Howl,OM,F+OM,NoFood,25.692,0.174,25.98,0.207,19.254,0.934,23.205,0.053
Markl,OM,F+OM,NoFood,25.883,0.613,26.68,0.131,19.282,0.529,25.143,0.064
Bloo,F,F+OM,Food,25.717,0.48,26.786,0.042,18.987,0.249,23.622,0.057
Wilt,OM,F+OM,Food,25.279,0.011,26.395,0.265,19.032,0.293,25.365,0.025
Coco,F,F+OM,Food,25.644,0.319,26.889,0.066,18.784,0.08,22.075,0.056
Edwardo,OM,F+OM,Food,25.908,0.124,26.98,0.072,19.499,0.307,25.113,0.113
